cvalue(),jaccard(),loglikelihood(),mutual_expectation(),specific_frequency_biased_mutual_dependency(),tscore(),unigram_subtuples(),w_order(),w_tf_order(),specific_exponential_correlation(e=3.8),w_specific_exponential_correlation(e=1.15)
0.3327764195,0.1760037113,0.0519079332,0.3393896518,0.0093364149,0.3863702103,0.0356284923,0.0198439669,0.3835145934,0.0060486505,0.1014066785
0.3326159357,0.176108302,0.05188557,0.3392204189,0.0093074941,0.3861053738,0.0355730823,0.0198542677,0.3831904341,0.0060550574,0.1014383255
0.3324482003,0.1762118886,0.0518644967,0.3390437693,0.0092787048,0.3858398931,0.0355169654,0.0198632689,0.382863486,0.0060609963,0.1014673978
0.3322699594,0.1763073814,0.0518446713,0.338863561,0.0092500486,0.3855667442,0.0354601789,0.0198710157,0.3825374716,0.0060664829,0.1015010863
0.3321061325,0.1763985517,0.0518225525,0.3386834603,0.0092215265,0.3852932612,0.035402759,0.0198775514,0.3822299292,0.0060715321,0.1015392182
0.3319389869,0.1764820844,0.0517982265,0.3385000501,0.0091965903,0.3850229631,0.0353447401,0.0198829179,0.3819195608,0.0060761587,0.101581627
0.3317754771,0.1765650355,0.0517785793,0.3383168865,0.0091717167,0.3847523909,0.0352895566,0.0198871556,0.3816133327,0.0060803766,0.1016281528
0.3316088016,0.1766474088,0.0517634503,0.3381306443,0.0091469085,0.3844883153,0.0352371199,0.0198903032,0.3812977476,0.0060841994,0.1016819947
0.331439104,0.1767225956,0.0517460723,0.337941468,0.0091221683,0.3842206432,0.0351840383,0.0198923982,0.3809864198,0.00608764,0.1017362741
0.3312763026,0.1767908305,0.0517297869,0.3377494963,0.0090974987,0.3839462914,0.0351303445,0.0198967368,0.3806760025,0.0060939713,0.1017909653
0.3311105464,0.1768491247,0.0517145594,0.3375677225,0.0090729019,0.383668758,0.03507607,0.0199000259,0.3803665241,0.0060998773,0.1018556885
0.3309451388,0.1769041486,0.0516971859,0.3373831492,0.0090483801,0.3833913754,0.0350212449,0.0199023008,0.3800580114,0.0061053717,0.1019332593
0.3307832264,0.1769591305,0.0516808701,0.3371990337,0.0090239353,0.3831204455,0.0349658983,0.0199035955,0.3797473619,0.0061104672,0.1020169715
0.3306185512,0.1770140616,0.051662494,0.3370092243,0.0089995696,0.3828558009,0.034910058,0.0199039428,0.3794501311,0.0061151764,0.1021004324
0.3304481921,0.177059803,0.0516421302,0.3368139465,0.0089752847,0.3825881485,0.0348537507,0.019906418,0.379153749,0.0061195114,0.1021866785
0.3302693662,0.1770966522,0.0516258542,0.3366194232,0.0089510823,0.3823206395,0.0347970021,0.0199079469,0.3788672495,0.0061234838,0.1022725989
0.3300883111,0.1771278597,0.0516105707,0.3364286271,0.008926964,0.3820562797,0.0347427998,0.0199085606,0.378572579,0.0061271051,0.102358189
0.3299109797,0.1771594531,0.051593326,0.3362326975,0.0089029312,0.381795012,0.034688146,0.019908289,0.3782817528,0.0061303859,0.1024463685
0.3297401664,0.1771885287,0.0515770726,0.3360376071,0.0088789854,0.3815425517,0.0346330647,0.0199071611,0.3779975816,0.0061362225,0.1025283811
0.3295699935,0.1772123153,0.0515617811,0.3358348181,0.0088551277,0.3812901127,0.0345804271,0.0199109006,0.3777142021,0.006141683,0.1026158043
0.3294032799,0.1772337904,0.0515474231,0.3356330459,0.0088313593,0.381040548,0.0345273525,0.019916539,0.3774260146,0.0061467786,0.1027084492
0.3292371679,0.1772502495,0.0515311962,0.3354322916,0.0088076815,0.3807910321,0.0344738635,0.0199212398,0.3771415457,0.0061515202,0.1028005834
0.3290716655,0.1772700677,0.0515131626,0.3352380347,0.0087840951,0.3805443441,0.0344199821,0.019925032,0.3768470267,0.0061559181,0.1029004262
0.3289040758,0.1772877262,0.0514933822,0.3350473966,0.0087606011,0.3802896159,0.0343657296,0.0199279437,0.3765536416,0.0061599827,0.102999604
0.3287344912,0.1773032902,0.0514719131,0.3348549532,0.0087398709,0.3800351524,0.0343111262,0.0199326725,0.3762587313,0.0061637237,0.1030981217
0.3285630007,0.1773168225,0.0514540855,0.3346660655,0.0087191845,0.3797809857,0.0342561916,0.0199365241,0.3759597529,0.0061671505,0.1031959843
0.328400107,0.1773231757,0.0514345808,0.3344780484,0.0086985438,0.3795349587,0.0342009446,0.019939525,0.3756646919,0.0061728767,0.1032905928
0.3282429982,0.1773225701,0.0514160256,0.3342883323,0.0086779505,0.3792865708,0.0341454033,0.019941701,0.3753734732,0.0061782584,0.1033846046
0.3280839003,0.1773202995,0.0513983938,0.3340919175,0.0086574063,0.3790410128,0.0340895853,0.0199456172,0.3750809427,0.0061833055,0.1034831044
0.3279228977,0.1773189241,0.051384169,0.333894056,0.0086369129,0.3787957263,0.0340335073,0.019948711,0.3747922029,0.0061905365,0.1035809222
0.3277575935,0.177310981,0.0513707716,0.3336923423,0.0086164716,0.3785507394,0.033982143,0.0199510066,0.3745096608,0.0061974057,0.1036755854
0.3275954875,0.1773015665,0.0513557299,0.3334918193,0.0085960841,0.3782987331,0.0339304605,0.0199525279,0.374225825,0.0062039228,0.103767175
0.3274340883,0.1772883064,0.0513415146,0.3332949,0.0085781709,0.3780423731,0.0338808964,0.0199532978,0.3739480336,0.0062100974,0.1038557697
0.3272662267,0.1772689267,0.0513257126,0.3330919437,0.0085602706,0.3777866064,0.0338310042,0.0199533384,0.3736689754,0.0062159389,0.1039438362
0.3271015656,0.177245973,0.0513107353,0.3328855196,0.0085423854,0.3775338139,0.0337808008,0.0199526713,0.3733958135,0.0062238183,0.1040290156
0.3269400342,0.1772195534,0.0512965605,0.3326757586,0.0085245173,0.3772886119,0.0337326364,0.0199513174,0.373128413,0.0062313405,0.1041113807
0.3267769498,0.1771874661,0.0512808598,0.3324674006,0.0085066684,0.3770438923,0.0336841515,0.019949297,0.372862029,0.0062408217,0.1041910023
0.3266123798,0.1771544397,0.0512682397,0.3322672732,0.0084888404,0.3768019544,0.0336353619,0.0199489095,0.3725921087,0.0062499237,0.1042679493
0.3264486428,0.1771182525,0.0512563592,0.3320638985,0.0084732888,0.3765627507,0.033586283,0.0199478545,0.3723187906,0.0062586564,0.1043490487
0.3262812818,0.1770834549,0.0512496539,0.3318640793,0.0084577226,0.3763395996,0.0335391573,0.0199461512,0.3720444363,0.0062670291,0.1044341707
0.3261148262,0.177043406,0.051243573,0.3316589328,0.0084421445,0.3761210627,0.0334917331,0.0199438183,0.3717779194,0.0062750509,0.1045187851
0.3259514489,0.1770069674,0.0512359226,0.3314573443,0.0084265567,0.3758983301,0.0334462021,0.019940874,0.3715168755,0.0062827309,0.1046007186
0.3257846277,0.1769697378,0.0512267481,0.3312592396,0.0084109616,0.3756737011,0.0334003645,0.019937336,0.3712568795,0.0062900777,0.1046821883
0.3256251201,0.1769338719,0.0512182214,0.3310602902,0.0083953614,0.3754451298,0.0333584907,0.0199332213,0.3709936792,0.0062970996,0.104763197
0.3254622218,0.1768930238,0.0512082213,0.3308626489,0.0083818622,0.375214859,0.0333183713,0.0199285466,0.3707316055,0.0063038048,0.1048479553
0.3252981277,0.176847337,0.0511988706,0.3306621429,0.0083683268,0.3749829646,0.0332820432,0.0199254087,0.37047066,0.0063102014,0.1049321875
0.3251349488,0.1768010658,0.051188095,0.3304650487,0.0083547579,0.3747536354,0.0332452911,0.0199217078,0.3702149588,0.006316297,0.1050179552
0.32496861,0.1767521969,0.0511759348,0.330261122,0.0083411581,0.3745288638,0.0332081311,0.01991746,0.3699603194,0.0063241341,0.1051011359
0.3248012303,0.1767048325,0.0511644421,0.3300545993,0.0083275298,0.3743085527,0.0331705789,0.0199146933,0.3697047309,0.0063316515,0.1051817902
