lemma	variant	isabstract	lexicalunit.comment like '%<##s>%'
sprzęt sportowy	1	1	0
materiał budowlany	1	0	0
samochód ciężarowy	1	0	1
wóz bojowy	1	0	0
deska rozdzielcza	1	0	0
dach nad głową	1	0	0
własny kąt	1	0	0
lotnisko wojskowe	1	0	0
wieża kontroli lotów	1	0	0
ministerstwo obrony narodowej	1	0	0
ministerstwo środowiska	1	0	0
ministerstwo kultury	1	0	0
instrument klawiszowy	1	0	0
instrument strunowy	1	0	0
instrument szarpany	1	0	0
muzyka rozrywkowa	1	1	0
karta graficzna	1	0	0
karta dźwiękowa	1	0	0
kolej żelazna	1	0	0
kolej linowa	1	0	0
koło młyńskie	1	0	0
koło zamachowe	1	0	0
telefon komórkowy	1	0	0
mózg elektronowy	1	0	0
platforma wiertnicza	1	0	0
platforma tramwaju	1	0	0
ołtarz ofiarny	1	0	0
plac zabaw	1	0	0
pustynia piaszczysta	1	0	0
pustynia skalista	1	0	0
pustynia lodowa	1	0	0
burza piaskowa	1	0	0
ogród botaniczny	1	0	0
ogród warzywny	1	0	0
ogród zoologiczny	1	0	0
państwo totalitarne	1	0	0
teatr amatorski	1	0	0
teatr lalek	2	0	0
technikum mechaniczne	1	0	0
technikum gastronomiczne	1	0	0
wyciąg krzesełkowy	1	0	1
pogotowie ratunkowe	1	0	0
pogotowie techniczne	1	0	0
pogotowie gazowe	1	0	0
port morski	1	0	0
port rzeczny	1	0	0
port rybacki	1	0	0
kula ziemska	1	0	0
przejście podziemne	1	0	0
przejście dla pieszych	1	0	0
pole uprawne	1	0	0
sala sądowa	1	0	0
studio fotograficzne	1	0	0
studio nagrań	1	0	0
zbiornik wodny	1	0	0
przejazd kolejowy	1	0	0
pawilon wystawowy	1	0	0
pawilon handlowy	1	0	0
pawilon usługowy	1	0	0
broń miotająca	1	0	0
budowla obronna	1	0	0
urządzenie grzewcze	1	0	1
pojazd konny	1	0	0
odbiornik radiowy	1	0	0
pojazd mechaniczny	1	0	0
statek powietrzny	1	0	0
instrument smyczkowy	1	0	0
coś mocniejszego	1	0	0
figura karciana	1	0	0
pistolet automatyczny	1	0	0
naczynie gospodarskie	1	0	0
broń atomowa	1	0	0
broń biała	1	0	0
tablica rozdzielcza	1	0	0
sprzęt AGD	1	0	0
sprzęt gospodarstwa domowego	1	0	0
wyposażenie wnętrz	1	0	1
błona światłoczuła	1	0	0
film rysunkowy	1	0	0
film dla dorosłych	1	0	0
film animowany	1	0	0
