DB ID	Is abstract?	Part of Speech	Lemma
7500	False	verb	rozeznać się
7503	False	verb	rozglądać się
7515	False	verb	rozkleić się
7523	False	subst	rozkład moralny
7525	False	verb	rozlec się
7542	False	verb	różnić się
7583	False	verb	rozprzestrzenić się
7584	False	verb	rozpływać się
7586	False	verb	rozradować się
7591	False	verb	rozrzewnić się
7595	False	verb	rozstać się
7596	False	verb	rozstać się z życiem
7597	False	verb	rozstawać się
7608	False	verb	rozszerzyć się
7613	False	verb	roztkliwić się
7624	False	verb	rozumieć się samo przez się
7647	False	verb	rozwijać się
7648	False	verb	rozwijać się
7652	False	verb	rozwinąć się
7679	False	verb	ruszyć się
7734	False	verb	rzucać kłody pod nogi
7735	False	verb	rzucać się
7738	False	verb	rzucić się
7755	False	verb	sadowić się
7818	False	verb	schować się
7825	False	verb	schylić się
7844	False	verb	ścigać się
7933	False	verb	sięgać korzeniami
7944	False	subst	silnik odrzutowy
7946	False	subst	silnik wewnętrznego spalania
7962	True	subst	utwór wokalny
7977	False	subst	skarbnica wiedzy
7980	False	verb	skarżyć się
7988	False	verb	skierować się
8002	False	verb	skoncentrować się
8005	False	verb	skończyć się
8017	False	verb	skręcać się
8028	False	verb	skryć się
8034	False	verb	skrywać się
8043	False	verb	skupiać się
8045	False	verb	skupić się
8058	False	verb	składać pocałunek
8062	False	verb	składać broń
8063	False	verb	składać podziękowanie
8064	False	verb	składać przeprosiny
8065	False	verb	składać reklamację
8066	False	verb	składać urząd
8067	False	verb	składać zeznanie
8068	False	verb	składać życzenia
8104	False	verb	śmiać się
8126	False	verb	smucić się
8138	False	verb	snuć wspomnienia
8140	False	verb	snuć się
8163	False	subst	sp. z o.o.
8171	False	verb	spalać się
8179	False	subst	specjalista od public relations
8196	False	verb	spełniać się
8198	False	verb	spełnić się
8203	False	verb	spieszyć się
8222	False	verb	spodobać się
8223	False	verb	spodziewać się
8250	False	subst	sposób rozumowania
8256	False	verb	spotkać się
8263	True	verb	spowodować _DZIAŁANIE DK_
8288	False	subst	spółka z ograniczoną odpowiedzialnością
8300	False	verb	sprawiać się
8309	False	verb	sprawować się
8319	False	verb	sprowadzać się
8325	False	verb	sprzeciwiać się
8354	False	subst	środek przekazu
8367	False	verb	stać po ... stronie
8368	False	verb	stać się
8371	False	subst	staczanie się
8386	False	subst	stan posiadania
8402	False	verb	starać się
8403	False	verb	starać się
8415	False	subst	starszy człowiek
8423	False	subst	stary kontynent
8424	False	subst	Stary Świat
8437	False	verb	stawać się
8440	False	verb	stawiać wniosek
8442	False	verb	stawić się
8473	False	verb	stosować się
8488	False	verb	stracić życie
8525	False	verb	strwożyć się
8549	False	verb	stulić uszy
8550	False	verb	stwarzać pozory
8576	True	subst	substancja jadalna
8644	False	verb	świecić się
8695	False	subst	system symboliczny
8696	False	subst	system znakowy
8779	False	verb	szkolić się
8787	False	subst	szkoła ponadpodstawowa
8823	False	subst	sztuka leczenia
8869	False	subst	sługa boży
8879	False	subst	służby specjalne
8897	False	subst	tajne służby
8927	False	subst	taśma filmowa
8962	False	adj	ten sam
8997	False	verb	tknąć się
9005	False	verb	toczyć się
9036	False	verb	tracić życie
9046	False	verb	trafiać się
9068	False	verb	trapić się
9071	False	subst	trasa szybkiego ruchu
9089	False	verb	troskać się
9113	False	verb	trwożyć się
9123	False	verb	trząść się
9133	False	verb	trzymać buzię na kłódkę
9134	False	verb	trzymać ... stronę
9135	False	verb	trzymać język za zębami
9170	False	verb	tyczyć się
9206	False	verb	ubiegać się
9224	False	verb	uchronić się
9231	False	verb	uchylić się
9240	False	verb	ucieszyć się
9260	False	verb	uczyć się
9261	False	verb	uczynić coś złego
9263	False	verb	udać się
9269	False	verb	udawać się
9292	False	verb	udzielać wypowiedzi
9294	False	verb	udzielić wypowiedzi
9299	False	verb	uganiać się
9309	False	verb	ująć się
9310	False	verb	ująć za serce
9324	False	verb	ukazać się
9326	False	verb	ukazywać się
9333	False	verb	ukryć się
9338	False	verb	ukształtować się
9344	False	subst	układ ciała
9347	False	verb	układać się
9368	False	verb	umawiać się
9392	False	verb	umówić się
9417	False	verb	unosić się
9423	False	subst	upadły anioł
9427	False	verb	upaść na duchu
9430	False	verb	upodabniać się
9435	False	verb	upominać się
9451	False	verb	uprawomocniać się
9467	False	verb	uradować się
9479	False	verb	urodzić się
