DB ID	Is abstract?	Part of Speech	Lemma
33961	False	subst	kwas karbolowy
33964	False	subst	kwas mlekowy
33965	False	subst	kwas moczowy
33967	False	subst	kwas nikotynowy
33969	False	subst	kwas tłuszczowy
33970	False	subst	kwas oleinowy
33971	False	subst	kwas pantotenowy
33972	False	subst	kwas pruski
33974	False	subst	kwas salicylowy
33975	False	subst	kwas siarkawy
33976	False	subst	kwas stearynowy
33977	False	subst	kwas szczawiowy
33978	False	subst	kwas węglowy
33980	False	subst	kabłączek skroniowy
33984	False	subst	kompas magnetyczny
33988	False	subst	kondensator elektryczny
33990	False	subst	kondor olbrzymi
33991	False	subst	kondor wielki
33992	False	subst	konflikt serologiczny
33993	False	subst	układ wewnątrzwydzielniczy
33994	False	subst	układ dokrewny
33995	False	subst	układ sympatyczny
33997	False	subst	układ rzeczowy
34000	False	subst	układ optyczny
34001	False	subst	układ niejednorodny
34002	False	subst	układ naczyniowy
34003	False	subst	układ krążenia
34004	False	subst	układ mięśniowy
34007	False	subst	układ limfatyczny
34008	False	subst	układ chłonny
34009	False	subst	układ fizyczny
34012	False	subst	kąt ujemny
34015	False	subst	udar słoneczny
34017	False	subst	udar cieplny
34020	False	subst	typ antropologiczny
34021	False	subst	typ śródziemnomorski
34026	False	subst	sąd konieczny
34027	False	subst	konik polski
34030	False	subst	koń huculski
34033	False	subst	chromosom płciowy
34035	False	subst	ciąg arytmetyczny
34036	False	subst	postęp arytmetyczny
34037	False	subst	ciąg geometryczny
34039	False	subst	ciąg skończony
34040	False	subst	postęp geometryczny
34048	False	subst	masa atomowa
34050	False	subst	koń sokólski
34051	False	subst	koń dyszlowy
34055	False	subst	masa cząsteczkowa
34056	False	subst	koń morski
34058	False	subst	ciężar pozorny
34059	False	subst	ciężki wodór
34068	False	subst	koper ogrodowy
34070	False	subst	koral czerwony
34074	False	subst	cukier gronowy
34083	False	subst	cukier prosty
34085	False	subst	cukier złożony
34086	False	subst	korkowiec amurski
34087	False	subst	kornik drukarz
34093	False	subst	cukier słodowy
34094	False	subst	korzeń fiołkowy
34098	False	subst	korzeń palowy
34101	False	subst	korzeń powietrzny
34103	False	subst	związek cykliczny
34104	False	subst	związek pierścieniowy
34106	False	subst	kościół halowy
34108	False	subst	cykl astronomiczny
34109	False	subst	cykl księżycowy
34110	False	subst	cykl słoneczny
34115	False	subst	typ orientalny
34120	False	subst	tynk szlachetny
34121	False	subst	tygrys szablastozębny
34123	False	subst	twardzioszek przydrożny
34128	False	subst	tunel hydrotechniczny
34129	False	subst	tunel chłodniczy
34131	False	subst	tunel aerodynamiczny
34132	False	subst	trzon tłokowy
34134	False	subst	maszyna tłokowa
34136	False	subst	trójkąt pitagorejski
34137	False	subst	trójkąt nawigacyjny
34138	False	subst	trociniarka czerwica
34140	False	subst	trądzik różowaty
34142	False	subst	transport pneumatyczny
34150	False	subst	kozioł skalny
34151	False	subst	kozioróg dębosz
34153	False	subst	koźlarz babka
34155	False	subst	akcent finalny
34156	False	subst	akcent oksytoniczny
34157	False	subst	adres wydawniczy
34158	False	subst	adres bibliograficzny
34176	False	subst	cykoria podróżnik
34193	False	subst	drąg tłokowy
34206	False	subst	homo sapiens neanderthalensis
34209	False	subst	koźlarz czerwony
34211	False	subst	krążek linowy
34212	False	subst	blok linowy
34213	False	subst	kredyt budżetowy
34214	False	subst	kredyt państwowy
34215	False	subst	kredyt rewolwingowy
34216	False	subst	krętek blady
