blok kontynentalny


cokół kontynentalny


blok startowy


błękit indygowy


błękit kobaltowy


błękit pruski


błękit paryski


błękit berliński


błyszczka jarzynówka


błyszczka gamma


bocian biały


bocian czarny


bodziec bezwarunkowy


bodziec podprogowy


bodziec progowy


bodziec warunkowy


bojar putny


borówka brusznica


brudnica mniszka


brudnica nieparka


bruzdownica pędówka


szlif brylantowy


bon lokacyjny


byt absolutny


camera obscura


linia melodyczna


linia kompozycyjna


cantus firmus


czerwony cedr


jałowiec wirginijski


cegła dziurawka


cenzus wyborczy


certyfikat okrętowy


chart afgański


układ wielofazowy


chart rosyjski


układ heterogeniczny


buńczuk orkiestrowy


kwas akrylowy


kwas alginowy


kwas nieorganiczny


kwas askorbinowy


kwas benzoesowy


kwas cytrynowy


kwas deoksyrybonukleinowy


kwas rybonukleinowy


kwas karbolowy


kwas mlekowy


kwas moczowy


kwas nikotynowy


kwas tłuszczowy


kwas oleinowy


kwas pantotenowy


kwas pruski


kwas salicylowy


kwas siarkawy


kwas stearynowy


kwas szczawiowy


kwas węglowy


kabłączek skroniowy


kompas magnetyczny


kondensator elektryczny


kondor olbrzymi


kondor wielki


konflikt serologiczny


układ wewnątrzwydzielniczy


układ dokrewny


układ sympatyczny


układ rzeczowy


układ optyczny


układ niejednorodny


układ naczyniowy


układ krążenia


układ mięśniowy


układ limfatyczny


układ chłonny


układ fizyczny


kąt ujemny


udar słoneczny


udar cieplny


typ antropologiczny


typ śródziemnomorski


sąd konieczny


konik polski


koń huculski


chromosom płciowy


ciąg arytmetyczny


postęp arytmetyczny


ciąg geometryczny


ciąg skończony


postęp geometryczny


masa atomowa


koń sokólski


koń dyszlowy


masa cząsteczkowa


koń morski


ciężar pozorny


ciężki wodór


koper ogrodowy


koral czerwony


cukier gronowy


cukier prosty


cukier złożony


korkowiec amurski


kornik drukarz


cukier słodowy


korzeń fiołkowy


korzeń palowy


